stunts-young-women-of-pokemon.json | season 10 | episode 40 | tried file: series-season10.json | internal error: source not found
stunts-mysteries.json | season 12 | episode 35 | tried file: series-season12.json | internal error: source not found
stunts-mysteries.json | season 14 | episode 14 | tried file: series-season14.json | internal error: source not found
stunts-mysteries.json | season 14 | episode 30 | tried file: series-season14.json | internal error: source not found
stunts-mysteries.json | season 15 | episode 40 | tried file: series-season15.json | internal error: source not found
stunts-mysteries.json | season 16 | episode 28 | tried file: series-season16.json | internal error: source not found
stunts-mysteries.json | season 16 | episode 30 | tried file: series-season16.json | internal error: source not found
stunts-nurse-joy.json | season 10 | episode 38 | tried file: series-season10.json | internal error: source not found
stunts-nurse-joy.json | season 16 | episode 30 | tried file: series-season16.json | internal error: source not found
stunts-nurse-joy.json | season 17 | episode 45 | tried file: series-season17.json | internal error: source not found
stunts-nurse-joy.json | season 19 | episode 3 | tried file: series-season19.json | internal error: source not found
stunts-nurse-joy.json | season 21 | episode 24 | tried file: series-season21.json | internal error: source not found
stunts-oblivious-ash.json | season 14 | episode 5 | tried file: series-season14.json | internal error: source not found
stunts-oblivious-ash.json | season 15 | episode 30 | tried file: series-season15.json | internal error: source not found
stunts-oblivious-ash.json | season 17 | episode 9 | tried file: series-season17.json | internal error: source not found
stunts-oblivious-ash.json | season 17 | episode 20 | tried file: series-season17.json | internal error: source not found
stunts-oblivious-ash.json | season 17 | episode 29 | tried file: series-season17.json | internal error: source not found
stunts-oddish.json | season 19 | episode 28 | tried file: series-season19.json | internal error: source not found
stunts-oddish.json | season 23 | episode 20 | tried file: series-season23.json | internal error: source not found
stunts-space.json | season 12 | episode 37 | tried file: series-season12.json | internal error: source not found
stunts-space.json | season 14 | episode 30 | tried file: series-season14.json | internal error: source not found
stunts-space.json | season 16 | episode 36 | tried file: series-season16.json | internal error: source not found
stunts-space.json | season 21 | episode 35 | tried file: series-season21.json | internal error: source not found
stunts-space.json | season 21 | episode 25 | tried file: series-season21.json | internal error: source not found
stunts-old-friends.json | season 11 | episode 22 | tried file: series-season11.json | internal error: source not found
stunts-old-friends.json | season 11 | episode 23 | tried file: series-season11.json | internal error: source not found
stunts-old-friends.json | season 11 | episode 25 | tried file: series-season11.json | internal error: source not found
stunts-old-friends.json | season 15 | episode 38 | tried file: series-season15.json | internal error: source not found
stunts-old-friends.json | season 15 | episode 43 | tried file: series-season15.json | internal error: source not found
stunts-old-friends.json | season 20 | episode 42 | tried file: series-season20.json | internal error: source not found
stunts-old-friends.json | season 20 | episode 43 | tried file: series-season20.json | internal error: source not found
stunts-old-friends.json | season 22 | episode 10 | tried file: series-season22.json | internal error: source not found
stunts-old-friends.json | season 22 | episode 11 | tried file: series-season22.json | internal error: source not found
stunts-photographers.json | season 15 | episode 6 | tried file: series-season15.json | internal error: source not found
stunts-photographers.json | season 17 | episode 5 | tried file: series-season17.json | internal error: source not found
stunts-photographers.json | season 17 | episode 6 | tried file: series-season17.json | internal error: source not found
stunts-photographers.json | season 17 | episode 30 | tried file: series-season17.json | internal error: source not found
stunts-photographers.json | season 18 | episode 37 | tried file: series-season18.json | internal error: source not found
stunts-photographers.json | season 21 | episode 14 | tried file: series-season21.json | internal error: source not found
stunts-picnic.json | season 10 | episode 42 | tried file: series-season10.json | internal error: source not found
stunts-picnic.json | season 14 | episode 11 | tried file: series-season14.json | internal error: source not found
stunts-picnic.json | season 15 | episode 7 | tried file: series-season15.json | internal error: source not found
stunts-picnic.json | season 17 | episode 11 | tried file: series-season17.json | internal error: source not found
stunts-picnic.json | season 23 | episode 39 | tried file: series-season23.json | internal error: source not found
stunts-piplup.json | season 11 | episode 25 | tried file: series-season11.json | internal error: source not found
stunts-piplup.json | season 12 | episode 17 | tried file: series-season12.json | internal error: source not found
stunts-piplup.json | season 12 | episode 32 | tried file: series-season12.json | internal error: source not found
stunts-piplup.json | season 13 | episode 7 | tried file: series-season13.json | internal error: source not found
stunts-piplup.json | season 13 | episode 20 | tried file: series-season13.json | internal error: source not found
stunts-piplup.json | season 15 | episode 38 | tried file: series-season15.json | internal error: source not found
stunts-poke-ball.json | season 3 | episode 11 | tried file: series-season03.json | internal error: source not found
stunts-poke-ball.json | season 18 | episode 30 | tried file: series-season18.json | internal error: source not found
stunts-poke-ball.json | season 21 | episode 18 | tried file: series-season21.json | internal error: source not found
stunts-professor-oak.json | season 10 | episode 45 | tried file: series-season10.json | internal error: source not found
stunts-professor-oak.json | season 12 | episode 33 | tried file: series-season12.json | internal error: source not found
stunts-professor-oak.json | season 12 | episode 34 | tried file: series-season12.json | internal error: source not found
stunts-professor-oak.json | season 20 | episode 42 | tried file: series-season20.json | internal error: source not found
stunts-racing.json | season 11 | episode 39 | tried file: series-season11.json | internal error: source not found
stunts-racing.json | season 15 | episode 21 | tried file: series-season15.json | internal error: source not found
stunts-racing.json | season 18 | episode 29 | tried file: series-season18.json | internal error: source not found
stunts-racing.json | season 20 | episode 13 | tried file: series-season20.json | internal error: source not found
stunts-racing.json | season 20 | episode 41 | tried file: series-season20.json | internal error: source not found
stunts-racing.json | season 22 | episode 27 | tried file: series-season22.json | internal error: source not found
stunts-riveting-rivalries.json | season 13 | episode 20 | tried file: series-season13.json | internal error: source not found
stunts-riveting-rivalries.json | season 13 | episode 31 | tried file: series-season13.json | internal error: source not found
stunts-riveting-rivalries.json | season 14 | episode 33 | tried file: series-season14.json | internal error: source not found
stunts-riveting-rivalries.json | season 15 | episode 47 | tried file: series-season15.json | internal error: source not found
stunts-riveting-rivalries.json | season 19 | episode 20 | tried file: series-season19.json | internal error: source not found
stunts-riveting-rivalries.json | season 19 | episode 35 | tried file: series-season19.json | internal error: source not found
stunts-riveting-rivalries.json | season 22 | episode 47 | tried file: series-season22.json | internal error: source not found
stunts-sleep-2023.json | season 14 | episode 6 | tried file: series-season14.json | internal error: source not found
stunts-sleep-2023.json | season 16 | episode 35 | tried file: series-season16.json | internal error: source not found
stunts-sleep-2023.json | season 17 | episode 18 | tried file: series-season17.json | internal error: source not found
stunts-sleep-2023.json | season 19 | episode 5 | tried file: series-season19.json | internal error: source not found
stunts-sleep-2023.json | season 20 | episode 29 | tried file: series-season20.json | internal error: source not found
stunts-sleep-2023.json | season 21 | episode 5 | tried file: series-season21.json | internal error: source not found
stunts-sleep-2023.json | season 21 | episode 13 | tried file: series-season21.json | internal error: source not found
stunts-jungle.json | season 17 | episode 34 | tried file: series-season17.json | internal error: source not found
stunts-jungle.json | season 17 | episode 37 | tried file: series-season17.json | internal error: source not found
stunts-jungle.json | season 19 | episode 28 | tried file: series-season19.json | internal error: source not found
stunts-jungle.json | season 20 | episode 18 | tried file: series-season20.json | internal error: source not found
stunts-jungle.json | season 20 | episode 29 | tried file: series-season20.json | internal error: source not found
stunts-jungle.json | season 20 | episode 35 | tried file: series-season20.json | internal error: source not found
stunts-sleep.json | season 14 | episode 6 | tried file: series-season14.json | internal error: source not found
stunts-sleep.json | season 16 | episode 35 | tried file: series-season16.json | internal error: source not found
stunts-sleep.json | season 19 | episode 5 | tried file: series-season19.json | internal error: source not found
stunts-sleep.json | season 20 | episode 29 | tried file: series-season20.json | internal error: source not found
stunts-sleep.json | season 21 | episode 5 | tried file: series-season21.json | internal error: source not found
stunts-sleep.json | season 21 | episode 13 | tried file: series-season21.json | internal error: source not found
stunts-sibling-stories.json | season 11 | episode 14 | tried file: series-season11.json | internal error: source not found
stunts-sibling-stories.json | season 15 | episode 10 | tried file: series-season15.json | internal error: source not found
stunts-sibling-stories.json | season 16 | episode 2 | tried file: series-season16.json | internal error: source not found
stunts-sibling-stories.json | season 19 | episode 21 | tried file: series-season19.json | internal error: source not found
stunts-sibling-stories.json | season 21 | episode 8 | tried file: series-season21.json | internal error: source not found
stunts-sibling-stories.json | season 21 | episode 28 | tried file: series-season21.json | internal error: source not found
stunts-shell-ebration.json | season 11 | episode 48 | tried file: series-season11.json | internal error: source not found
stunts-shell-ebration.json | season 13 | episode 9 | tried file: series-season13.json | internal error: source not found
stunts-shell-ebration.json | season 15 | episode 27 | tried file: series-season15.json | internal error: source not found
stunts-shell-ebration.json | season 15 | episode 28 | tried file: series-season15.json | internal error: source not found
stunts-shell-ebration.json | season 22 | episode 31 | tried file: series-season22.json | internal error: source not found
stunts-shell-ebration.json | season 23 | episode 13 | tried file: series-season23.json | internal error: source not found
stunts-scooptacular-summer.json | season 10 | episode 40 | tried file: series-season10.json | internal error: source not found
stunts-scooptacular-summer.json | season 12 | episode 50 | tried file: series-season12.json | internal error: source not found
stunts-scooptacular-summer.json | season 15 | episode 33 | tried file: series-season15.json | internal error: source not found
stunts-scooptacular-summer.json | season 18 | episode 9 | tried file: series-season18.json | internal error: source not found
stunts-scooptacular-summer.json | season 21 | episode 19 | tried file: series-season21.json | internal error: source not found
stunts-scooptacular-summer.json | season 22 | episode 11 | tried file: series-season22.json | internal error: source not found
stunts-scooptacular-summer.json | season 23 | episode 48 | tried file: series-season23.json | internal error: source not found
stunts-scooptacular-summer.json | season 24 | episode 21 | tried file: series-season24.json | internal error: source not found
stunts-same-species-showdowns.json | season 10 | episode 31 | tried file: series-season10.json | internal error: source not found
stunts-same-species-showdowns.json | season 13 | episode 8 | tried file: series-season13.json | internal error: source not found
stunts-same-species-showdowns.json | season 18 | episode 2 | tried file: series-season18.json | internal error: source not found
stunts-same-species-showdowns.json | season 19 | episode 22 | tried file: series-season19.json | internal error: source not found
stunts-same-species-showdowns.json | season 19 | episode 32 | tried file: series-season19.json | internal error: source not found
stunts-same-species-showdowns.json | season 22 | episode 13 | tried file: series-season22.json | internal error: source not found
stunts-same-species-showdowns.json | season  | episode  | tried file: unknown-season-file | internal error: invalid season/episode
stunts-partner-premieres.json | season 14 | episode 9 | tried file: series-season14.json | internal error: source not found
stunts-partner-premieres.json | season 17 | episode 4 | tried file: series-season17.json | internal error: source not found
stunts-partner-premieres.json | season 17 | episode 10 | tried file: series-season17.json | internal error: source not found
stunts-partner-premieres.json | season 22 | episode 31 | tried file: series-season22.json | internal error: source not found
stunts-partner-premieres.json | season 22 | episode 16 | tried file: series-season22.json | internal error: source not found
stunts-partner-premieres.json | season 20 | episode 14 | tried file: series-season20.json | internal error: source not found
stunts-partner-premieres.json | season 21 | episode 6 | tried file: series-season21.json | internal error: source not found
stunts-nicknamed-pokemon.json | season 12 | episode 48 | tried file: series-season12.json | internal error: source not found
stunts-nicknamed-pokemon.json | season 19 | episode 2 | tried file: series-season19.json | internal error: source not found
stunts-nicknamed-pokemon.json | season 20 | episode 14 | tried file: series-season20.json | internal error: source not found
stunts-nicknamed-pokemon.json | season 21 | episode 1 | tried file: series-season21.json | internal error: source not found
stunts-nicknamed-pokemon.json | season 21 | episode 29 | tried file: series-season21.json | internal error: source not found
stunts-nicknamed-pokemon.json | season 22 | episode 2 | tried file: series-season22.json | internal error: source not found
stunts-nicknamed-pokemon.json | season 22 | episode 7 | tried file: series-season22.json | internal error: source not found
stunts-movie-marathon-01-03.json | season  | episode  | tried file: unknown-season-file | internal error: invalid season/episode
stunts-movie-marathon-01-03.json | season  | episode  | tried file: unknown-season-file | internal error: invalid season/episode
stunts-memorable-episodes.json | season 3 | episode 10 | tried file: series-season03.json | internal error: source not found
stunts-memorable-episodes.json | season 10 | episode 50 | tried file: series-season10.json | internal error: source not found
stunts-memorable-episodes.json | season 13 | episode 31 | tried file: series-season13.json | internal error: source not found
stunts-memorable-episodes.json | season 15 | episode 1 | tried file: series-season15.json | internal error: source not found
stunts-memorable-episodes.json | season 18 | episode 12 | tried file: series-season18.json | internal error: source not found
stunts-memorable-episodes.json | season 18 | episode 31 | tried file: series-season18.json | internal error: source not found
stunts-memorable-episodes.json | season 20 | episode 37 | tried file: series-season20.json | internal error: source not found
stunts-memorable-episodes.json | season 21 | episode 32 | tried file: series-season21.json | internal error: source not found
stunts-ice-type-pokemon.json | season 12 | episode 22 | tried file: series-season12.json | internal error: source not found
stunts-ice-type-pokemon.json | season 15 | episode 31 | tried file: series-season15.json | internal error: source not found
stunts-ice-type-pokemon.json | season 17 | episode 23 | tried file: series-season17.json | internal error: source not found
stunts-ice-type-pokemon.json | season 18 | episode 9 | tried file: series-season18.json | internal error: source not found
stunts-ice-type-pokemon.json | season 19 | episode 29 | tried file: series-season19.json | internal error: source not found
stunts-ice-type-pokemon.json | season 20 | episode 14 | tried file: series-season20.json | internal error: source not found
stunts-ice-type-pokemon.json | season 21 | episode 17 | tried file: series-season21.json | internal error: source not found
stunts-ice-type-pokemon.json | season 21 | episode 36 | tried file: series-season21.json | internal error: source not found
stunts-team-rocket-fake-out.json | season 11 | episode 39 | tried file: series-season11.json | internal error: source not found
stunts-team-rocket-fake-out.json | season 12 | episode 13 | tried file: series-season12.json | internal error: source not found
stunts-team-rocket-fake-out.json | season 19 | episode 32 | tried file: series-season19.json | internal error: source not found
stunts-team-rocket-fake-out.json | season 21 | episode 3 | tried file: series-season21.json | internal error: source not found
stunts-team-rocket-fake-out.json | season 22 | episode 36 | tried file: series-season22.json | internal error: source not found
stunts-team-rocket-fake-out.json | season 23 | episode 43 | tried file: series-season23.json | internal error: source not found
stunts-team-rocket-fake-out.json | season 23 | episode 48 | tried file: series-season23.json | internal error: source not found
stunts-halloween-2022.json | season 18 | episode 44 | tried file: series-season18.json | internal error: source not found
stunts-halloween-2022.json | season 13 | episode 12 | tried file: series-season13.json | internal error: source not found
stunts-halloween-2022.json | season 10 | episode 40 | tried file: series-season10.json | internal error: source not found
stunts-halloween-2022.json | season 11 | episode 50 | tried file: series-season11.json | internal error: source not found
stunts-halloween-2022.json | season 15 | episode 35 | tried file: series-season15.json | internal error: source not found
stunts-halloween-2022.json | season 22 | episode 23 | tried file: series-season22.json | internal error: source not found
stunts-halloween-2022.json | season 22 | episode 35 | tried file: series-season22.json | internal error: source not found
stunts-halloween-2022.json | season 22 | episode 2 | tried file: series-season22.json | internal error: source not found
stunts-halloween-2022.json | season 21 | episode 33 | tried file: series-season21.json | internal error: source not found
stunts-halloween-2022.json | season  | episode  | tried file: unknown-season-file | internal error: invalid season/episode
stunts-failures-of-ash.json | season 13 | episode 32 | tried file: series-season13.json | internal error: source not found
stunts-failures-of-ash.json | season 16 | episode 10 | tried file: series-season16.json | internal error: source not found
stunts-failures-of-ash.json | season 16 | episode 11 | tried file: series-season16.json | internal error: source not found
stunts-failures-of-ash.json | season 19 | episode 37 | tried file: series-season19.json | internal error: source not found
stunts-failures-of-ash.json | season 19 | episode 38 | tried file: series-season19.json | internal error: source not found
stunts-dog-days-of-summer.json | season 3 | episode 8 | tried file: series-season03.json | internal error: source not found
stunts-dog-days-of-summer.json | season 14 | episode 15 | tried file: series-season14.json | internal error: source not found
stunts-dog-days-of-summer.json | season 17 | episode 8 | tried file: series-season17.json | internal error: source not found
stunts-dog-days-of-summer.json | season 20 | episode 15 | tried file: series-season20.json | internal error: source not found
stunts-dog-days-of-summer.json | season 20 | episode 21 | tried file: series-season20.json | internal error: source not found
stunts-dog-days-of-summer.json | season 20 | episode 37 | tried file: series-season20.json | internal error: source not found
stunts-dog-days-of-summer.json | season 23 | episode 11 | tried file: series-season23.json | internal error: source not found
stunts-cave-escapades.json | season 14 | episode 34 | tried file: series-season14.json | internal error: source not found
stunts-cave-escapades.json | season 15 | episode 14 | tried file: series-season15.json | internal error: source not found
stunts-cave-escapades.json | season 17 | episode 30 | tried file: series-season17.json | internal error: source not found
stunts-cave-escapades.json | season 21 | episode 36 | tried file: series-season21.json | internal error: source not found
stunts-cave-escapades.json | season 24 | episode 24 | tried file: series-season24.json | internal error: source not found
stunts-ashs-most-iconic-battles.json | season 13 | episode 31 | tried file: series-season13.json | internal error: source not found
stunts-ashs-most-iconic-battles.json | season 13 | episode 32 | tried file: series-season13.json | internal error: source not found
stunts-ashs-most-iconic-battles.json | season 16 | episode 11 | tried file: series-season16.json | internal error: source not found
stunts-ashs-most-iconic-battles.json | season 19 | episode 35 | tried file: series-season19.json | internal error: source not found
stunts-ashs-most-iconic-battles.json | season 19 | episode 38 | tried file: series-season19.json | internal error: source not found
stunts-ashs-most-iconic-battles.json | season 22 | episode 47 | tried file: series-season22.json | internal error: source not found
stunts-ashs-most-iconic-battles.json | season 22 | episode 52 | tried file: series-season22.json | internal error: source not found
stunts-ashs-greatest-triumphs.json | season 13 | episode 31 | tried file: series-season13.json | internal error: source not found
stunts-ashs-greatest-triumphs.json | season 16 | episode 7 | tried file: series-season16.json | internal error: source not found
stunts-ashs-greatest-triumphs.json | season 19 | episode 29 | tried file: series-season19.json | internal error: source not found
stunts-ashs-greatest-triumphs.json | season 19 | episode 35 | tried file: series-season19.json | internal error: source not found
stunts-ashs-greatest-triumphs.json | season 22 | episode 47 | tried file: series-season22.json | internal error: source not found
stunts-ashs-greatest-triumphs.json | season 24 | episode 37 | tried file: series-season24.json | internal error: source not found
